2026-09-14 15:22:05 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:22:05 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:22:05 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:22:05 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:22:05 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:23:06 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:23:06 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:06 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:23:06 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:06 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:23:11 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:23:11 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:11 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:23:11 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:11 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:23:25 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:23:25 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:25 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:23:25 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:23:25 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:24:45 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:24:45 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:24:45 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:24:45 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:24:45 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:24:50 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:24:50 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:24:50 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:24:50 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:24:50 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:26:19 | EMP: EMP_TEST_001 | FECHA_HORA: 2026-09-14 15:26:19 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:26:19 | EMP: EMP_TEST_002 | FECHA_HORA: 2026-09-14 15:26:19 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:26:19 | EMP: EMP_WEBHOOK_003 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.1.50 | ORIGEN: WEBHOOK
2026-09-14 15:27:45 | EMP: 101 | FECHA_HORA: 2026-09-14 15:27:45 | IP: 192.168.20.215 | ORIGEN: PRUEBA_MANUAL
2026-09-14 15:27:57 | EMP: 202 | FECHA_HORA: 2026-09-14 10:00:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
