2026-09-17T09:43:59.710001 | EMP: 999 | TIENDA: 1 | FECHA_HORA: 2026-09-17 09:43:59.692797 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:47:04.170448 | EMP: EMP001 | TIENDA: 1 | FECHA_HORA: 2026-09-17 09:47:04.168527 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:47:06.601490 | EMP: EMP002 | TIENDA: 1 | FECHA_HORA: 2026-09-16 10:30:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T09:47:13.940601 | EMP: EMP_TEST_99 | TIENDA: 1 | FECHA_HORA: 2026-09-16 12:00:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T09:47:18.113403 | EMP: EMP_TEST_99 | TIENDA: 1 | FECHA_HORA: 2026-09-16 12:20:30 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T09:48:31.590152 | EMP: EMP_TEST_96 | TIENDA: 8 | FECHA_HORA: 2026-09-16 12:00:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T09:48:33.612544 | EMP: EMP_TEST_96 | TIENDA: 8 | FECHA_HORA: 2026-09-16 12:20:30 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T09:56:34.500292 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.475889 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:56:34.517120 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.489207 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:56:34.519080 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.489469 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:56:34.519541 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.492866 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:56:34.519950 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.495086 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T09:56:34.522788 | EMP: 999 | TIENDA: 8 | FECHA_HORA: 2026-09-17 09:56:34.499728 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
