2026-09-17T11:35:17.952085 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:35:17.617189 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:35:35.734561 | EMP: EMP001 | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:35:35.694605 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:35:41.790957 | EMP: EMP002 | TIENDA: 1 | FECHA_HORA: 2026-09-16T10:30:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T11:35:49.371836 | EMP: EMP_TEST_96 | TIENDA: 1 | FECHA_HORA: 2026-09-16T12:00:00 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T11:35:53.147352 | EMP: EMP_TEST_96 | TIENDA: 1 | FECHA_HORA: 2026-09-16T12:20:30 | IP: 192.168.20.215 | ORIGEN: WEBHOOK
2026-09-17T11:36:19.203481 | EMP: 3 | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:36:19.161006 | IP: 192.168.20.210 | ORIGEN: STREAM
2026-09-17T11:38:01.706813 | EMP: 2 | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:38:01.648173 | IP: 192.168.20.210 | ORIGEN: STREAM
2026-09-17T11:40:43.443580 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:40:43.325608 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:40:43.445051 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:40:43.341237 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:40:43.449619 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:40:43.336363 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:40:43.450746 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:40:43.345377 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:40:43.451365 | EMP: TEST | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:40:43.342944 | IP: 192.168.20.210 | ORIGEN: PRUEBA_MANUAL
2026-09-17T11:49:00.441840 | EMP: 5 | TIENDA: 1 | FECHA_HORA: 2026-09-17T11:49:00.415098 | IP: 192.168.20.210 | ORIGEN: STREAM
2026-09-17T12:04:50.964137 | EMP: 25632094 | TIENDA: 1 | FECHA_HORA: 2026-09-17T12:04:50.913405 | IP: 192.168.20.210 | ORIGEN: STREAM
