2026-09-18T09:58:24.994232 | EMP: EMP_1013 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.001334 | EMP: EMP_1001 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.004335 | EMP: EMP_1005 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.005491 | EMP: EMP_1003 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.014437 | EMP: EMP_1004 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.016455 | EMP: EMP_1000 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.041318 | EMP: EMP_1002 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.042634 | EMP: EMP_1006 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.043206 | EMP: EMP_1008 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.084352 | EMP: EMP_1011 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.084805 | EMP: EMP_1007 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
2026-09-18T09:58:25.085263 | EMP: EMP_1010 | TIENDA: 1 | FECHA_HORA: 2026-09-16T14:00:00 | IP: 192.168.20.210 | ORIGEN: PRUEBA_ESTRES
